SHOTGUN MFG,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 2
SHOTGUN MFG,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 73
SHOTGUN MFG,2014,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 10 5 15 8 10 1 49
SHOTGUN MFG,2015,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 37 0 0 14 25 15 91
SHOTGUN MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
SHOTGUN MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 80
SHOTGUN MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 9
SHOTGUN MFG,2015,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 1 15 10 10 8 49
SHOTGUN MFG,2016,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 30 0 1 6 25 20 82
SHOTGUN MFG,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
SHOTGUN MFG,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 98
SHOTGUN MFG,2016,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 18 12 14 10 65
SHOTGUN MFG,2017,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 13 0 0 6 21 8 48
SHOTGUN MFG,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
SHOTGUN MFG,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 53
SHOTGUN MFG,2017,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 3 10 11 1 36
SHOTGUN MFG,2018,60600763 STULR—M’, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 21 0 0 41 23 8 93
SHOTGUN MFG,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
SHOTGUN MFG,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
SHOTGUN MFG,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 48
SHOTGUN MFG,2018,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 2 21 3 5 1 38
